"filename","barcode","image_order","mime_type"
"12800-00001-000028-070.tif","3164095144","","image/tiff"
"12800-00001-000028-080.tif","0164095153","","image/tiff"
"12800-00001-000028-090.tif","8164095162","","image/tiff"
"12800-00001-000028-100.tif","6164095171","","image/tiff"
"12800-00001-000028-110.tif","4164095180","","image/tiff"
"12800-00001-000028-120.tif","2164095199","","image/tiff"
"12800-00001-000028-130.tif","0164095206","","image/tiff"
"12800-00001-000028-140.tif","8164095215","","image/tiff"
"12800-00001-000028-150.tif","6164095224","","image/tiff"
"12800-00001-000028-160.tif","4164095233","","image/tiff"
"12800-00001-000028-170.tif","2164095242","","image/tiff"
"12800-00001-000028-180.tif","9164095251","","image/tiff"
"12800-00001-000028-190.tif","7164095260","","image/tiff"
"12800-00001-000028-200.tif","5164095279","","image/tiff"
"12800-00001-000029-010.tif","3164095288","","image/tiff"
"12800-00001-000029-020.tif","1164095297","","image/tiff"
"12800-00001-000029-030.tif","9164095304","","image/tiff"
"12800-00001-000029-040.tif","7164095313","","image/tiff"
"12800-00001-000029-050.tif","5164095322","","image/tiff"
"12800-00001-000029-060.tif","3164095331","","image/tiff"
"12800-00001-000029-070.tif","1164095340","","image/tiff"
"12800-00001-000029-080.tif","8164095359","","image/tiff"
"12800-00001-000029-090.tif","6164095368","","image/tiff"
"12800-00001-000029-100.tif","4164095377","","image/tiff"
"12800-00001-000029-110.tif","2164095386","","image/tiff"
"12800-00001-000029-120.tif","0164095395","","image/tiff"
"12800-00001-000029-130.tif","8164095402","","image/tiff"
"12800-00001-000029-140.tif","6164095411","","image/tiff"
"12800-00001-000029-150.tif","4164095420","","image/tiff"
"12800-00001-000029-160.tif","2164095439","","image/tiff"
"12800-00001-000029-170.tif","0164095448","","image/tiff"
"12800-00001-000029-180.tif","7164095457","","image/tiff"
"12800-00001-000029-190.tif","5164095466","","image/tiff"
"12800-00001-000029-200.tif","3164095475","","image/tiff"
"12800-00001-000030-010.tif","1164095484","","image/tiff"
"12800-00001-000030-020.tif","9164095493","","image/tiff"
"12800-00001-000030-030.tif","7164095509","","image/tiff"
"12800-00001-000030-040.tif","5164095518","","image/tiff"
"12800-00001-000030-050.tif","3164095527","","image/tiff"
"12800-00001-000030-060.tif","1164095536","","image/tiff"
"12800-00001-000030-070.tif","9164095545","","image/tiff"
"12800-00001-000030-080.tif","6164095554","","image/tiff"
"12800-00001-000030-090.tif","4164095563","","image/tiff"
"12800-00001-000030-100.tif","2164095572","","image/tiff"
"12800-00001-000030-110.tif","6164138401","","image/tiff"
"12800-00001-000030-120.tif","0164095581","","image/tiff"
"12800-00001-000030-130.tif","8164095590","","image/tiff"
"12800-00001-000030-140.tif","6164095607","","image/tiff"
"12800-00001-000030-150.tif","4164095616","","image/tiff"
"12800-00001-000030-160.tif","2164095625","","image/tiff"
"12800-00001-000030-170.tif","0164095634","","image/tiff"
"12800-00001-000031-010.tif","8164095643","","image/tiff"
"12800-00001-000031-020.tif","5164095652","","image/tiff"
"12800-00001-000031-030.tif","3164095661","","image/tiff"
"12800-00001-000031-040.tif","1164095670","","image/tiff"
"12800-00001-000031-050.tif","9164095689","","image/tiff"
"12800-00001-000031-060.tif","7164095698","","image/tiff"
"12800-00001-000031-070.tif","5164095705","","image/tiff"
"12800-00001-000031-080.tif","3164095714","","image/tiff"
"12800-00001-000031-090.tif","1164095723","","image/tiff"
"12800-00001-000031-100.tif","9164095732","","image/tiff"
"12800-00001-000031-110.tif","7164095741","","image/tiff"
"12800-00001-000031-120.tif","4164095750","","image/tiff"
"12800-00001-000031-130.tif","2164095769","","image/tiff"
"12800-00001-000031-140.tif","4164138410","","image/tiff"
"12800-00001-000031-150.tif","0164095778","","image/tiff"
"12800-00001-000032-010.tif","8164095787","","image/tiff"
"12800-00001-000032-020.tif","6164095796","","image/tiff"
"12800-00001-000032-030.tif","4164095803","","image/tiff"
"12800-00001-000032-040.tif","2164095812","","image/tiff"
"12800-00001-000032-050.tif","0164095821","","image/tiff"
"12800-00001-000032-060.tif","8164095830","","image/tiff"
"12800-00001-000032-070.tif","6164095849","","image/tiff"
"12800-00001-000032-080.tif","3164095858","","image/tiff"
"12800-00001-000032-090.tif","1164095867","","image/tiff"
"12800-00001-000032-100.tif","9164095876","","image/tiff"
"12800-00001-000032-110.tif","7164095885","","image/tiff"
"12800-00001-000032-120.tif","5164095894","","image/tiff"
"12800-00001-000032-130.tif","3164095901","","image/tiff"
"12800-00001-000032-140.tif","1164095910","","image/tiff"
"12800-00001-000032-150.tif","9164095929","","image/tiff"
"12800-00001-000033-010.tif","7164095938","","image/tiff"
"12800-00001-000033-020.tif","5164095947","","image/tiff"
"12800-00001-000033-030.tif","2164095956","","image/tiff"
"12800-00001-000033-040.tif","0164095965","","image/tiff"
